point,waveType,dacVoltage,pulse,rawSensor1,rawSensor2,sensor1,sensor2,voltage1,voltage2,gasType,ppm
0,0,3.3,255,22593,4610,22593,4610,2.82421,0.57637,CleanAir,0.0
1,0,3.3,255,24064,4911,24064,4911,3.00801,0.61388,CleanAir,0.0
2,0,3.3,255,26376,5383,26376,5383,3.29711,0.67288,CleanAir,0.0
3,0,3.3,255,28748,5866,28748,5866,3.59351,0.73337,CleanAir,0.0
4,0,3.3,255,31158,6358,31158,6358,3.89486,0.79487,CleanAir,0.0
5,0,3.3,255,33555,6848,33555,6848,4.1944,0.856,CleanAir,0.0
6,0,3.3,255,35946,7336,35946,7336,4.4933,0.917,CleanAir,0.0
7,0,3.3,255,38322,7820,38322,7820,4.79034,0.97762,CleanAir,0.0
8,0,3.3,255,40675,8301,40675,8301,5.08439,1.03763,CleanAir,0.0
9,0,3.3,255,42963,8768,42963,8768,5.3704,1.096,CleanAir,0.0
10,0,3.3,255,45236,9232,45236,9232,5.6546,1.154,CleanAir,0.0
11,0,3.3,255,47446,9682,47446,9682,5.93081,1.21037,CleanAir,0.0
12,0,3.3,255,49651,10132,49651,10132,6.20644,1.26662,CleanAir,0.0
13,0,3.3,255,51758,10563,51758,10563,6.46986,1.32038,CleanAir,0.0
14,0,3.3,255,53846,10989,53846,10989,6.73079,1.37363,CleanAir,0.0
15,0,3.3,255,55811,11390,55811,11390,6.97638,1.42375,CleanAir,0.0
16,0,3.3,255,57741,11784,57741,11784,7.2177,1.473,CleanAir,0.0
17,0,3.3,255,59579,12159,59579,12159,7.44741,1.51988,CleanAir,0.0
18,0,3.3,255,61382,12526,61382,12526,7.67276,1.56587,CleanAir,0.0
19,0,3.3,255,63102,12878,63102,12878,7.88778,1.60975,CleanAir,0.0
20,0,3.3,255,64758,13216,64758,13216,8.0948,1.652,CleanAir,0.0
21,0,3.3,255,66355,13542,66355,13542,8.29448,1.69275,CleanAir,0.0
22,0,3.3,255,67908,13858,67908,13858,8.48861,1.73237,CleanAir,0.0
23,0,3.3,255,69359,14154,69359,14154,8.66991,1.76937,CleanAir,0.0
24,0,3.3,255,70770,14442,70770,14442,8.84631,1.80537,CleanAir,0.0
25,0,3.3,255,72108,14716,72108,14716,9.01355,1.8395,CleanAir,0.0
26,0,3.3,255,73416,14983,73416,14983,9.17711,1.87288,CleanAir,0.0
27,0,3.3,255,74583,15221,74583,15221,9.32289,1.90263,CleanAir,0.0
28,0,3.3,255,75754,15460,75754,15460,9.46925,1.9325,CleanAir,0.0
29,0,3.3,255,76890,15692,76890,15692,9.61135,1.9615,CleanAir,0.0
