point,waveType,dacVoltage,pulse,rawSensor1,rawSensor2,sensor1,sensor2,voltage1,voltage2,gasType,ppm
0,0,3.3,255,20673,4219,20673,4219,2.58416,0.52738,H2S,0.35
1,0,3.3,255,22010,4492,22010,4492,2.75135,0.5615,H2S,0.67
2,0,3.3,255,24078,4914,24078,4914,3.00983,0.61425,H2S,1.16
3,0,3.3,255,26214,5350,26214,5350,3.27687,0.66875,H2S,1.66
4,0,3.3,255,28376,5791,28376,5791,3.54701,0.72388,H2S,2.17
5,0,3.3,255,30517,6228,30517,6228,3.81465,0.7785,H2S,2.68
6,0,3.3,255,32673,6668,32673,6668,4.08415,0.8335,H2S,3.18
7,0,3.3,255,34809,7104,34809,7104,4.3512,0.888,H2S,3.69
8,0,3.3,255,36902,7531,36902,7531,4.61276,0.94138,H2S,4.18
9,0,3.3,255,38999,7959,38999,7959,4.87491,0.99488,H2S,4.68
10,0,3.3,255,41042,8376,41042,8376,5.1303,1.047,H2S,5.16
11,0,3.3,255,43051,8786,43051,8786,5.38143,1.09825,H2S,5.63
12,0,3.3,255,45006,9185,45006,9185,5.62584,1.14813,H2S,6.09
13,0,3.3,255,46927,9576,46927,9576,5.86589,1.19712,H2S,6.55
14,0,3.3,255,48798,9958,48798,9958,6.09986,1.24487,H2S,6.99
15,0,3.3,255,50617,10330,50617,10330,6.32713,1.29125,H2S,7.42
16,0,3.3,255,52381,10690,52381,10690,6.54763,1.33625,H2S,7.83
17,0,3.3,255,54081,11037,54081,11037,6.76019,1.37963,H2S,8.24
18,0,3.3,255,55727,11372,55727,11372,6.96594,1.42162,H2S,8.62
19,0,3.3,255,57310,11696,57310,11696,7.1638,1.462,H2S,9.0
20,0,3.3,255,58849,12010,58849,12010,7.35613,1.50125,H2S,9.36
21,0,3.3,255,60333,12313,60333,12313,7.54174,1.53913,H2S,9.71
22,0,3.3,255,61759,12604,61759,12604,7.71995,1.5755,H2S,10.05
