point,waveType,dacVoltage,pulse,rawSensor1,rawSensor2,sensor1,sensor2,voltage1,voltage2,gasType,ppm
16,0,3.3,255,20780,4663,20780,4663,2.5975,0.58288,MixedAir,0.0
17,0,3.3,255,21088,4719,21088,4719,2.636,0.58988,MixedAir,0.0
18,0,3.3,255,21239,4670,21239,4670,2.65488,0.58375,MixedAir,0.0
19,0,3.3,255,21364,4651,21364,4651,2.6705,0.58138,MixedAir,0.0
20,0,3.3,255,21484,4664,21484,4664,2.6855,0.583,MixedAir,0.0
21,0,3.3,255,21609,4702,21609,4702,2.70113,0.58775,MixedAir,0.0
22,0,3.3,255,21723,4718,21723,4718,2.71538,0.58975,MixedAir,0.0
23,0,3.3,255,21741,4677,21741,4677,2.71763,0.58463,MixedAir,0.0
24,0,3.3,255,21943,4659,21943,4659,2.74288,0.58238,MixedAir,0.0
25,0,3.3,255,21877,4650,21877,4650,2.73463,0.58125,MixedAir,0.0
26,0,3.3,255,22129,4700,22129,4700,2.76613,0.5875,MixedAir,0.0
27,0,3.3,255,22066,4721,22066,4721,2.75825,0.59013,MixedAir,0.0
28,0,3.3,255,22316,4668,22316,4668,2.7895,0.5835,MixedAir,0.0
29,0,3.3,255,22358,4655,22358,4655,2.79475,0.58188,MixedAir,0.0
30,0,3.3,255,22474,4645,22474,4645,2.80925,0.58063,MixedAir,0.0
31,0,3.3,255,22541,4641,22541,4641,2.81763,0.58013,MixedAir,0.0
32,0,3.3,255,22612,4666,22612,4666,2.8265,0.58325,MixedAir,0.0
33,0,3.3,255,22682,4644,22682,4644,2.83525,0.5805,MixedAir,0.0
34,0,3.3,255,22581,4671,22581,4671,2.82263,0.58388,MixedAir,0.0
35,0,3.3,255,22808,4707,22808,4707,2.851,0.58838,MixedAir,0.0
36,0,3.3,255,22701,4714,22701,4714,2.83763,0.58925,MixedAir,0.0
37,0,3.3,255,22928,4674,22928,4674,2.866,0.58425,MixedAir,0.0
38,0,3.3,255,23067,4665,23067,4665,2.88338,0.58313,MixedAir,0.0
39,0,3.3,255,22953,4669,22953,4669,2.86913,0.58363,MixedAir,0.0
40,0,3.3,255,23156,4674,23156,4674,2.8945,0.58425,MixedAir,0.0
41,0,3.3,255,23193,4680,23193,4680,2.89913,0.585,MixedAir,0.0
