point,waveType,dacVoltage,pulse,rawSensor1,rawSensor2,sensor1,sensor2,voltage1,voltage2,gasType,ppm
0,0,3.3,255,19894,4059,19894,4059,2.48675,0.5075,NH3,1.48
1,0,3.3,255,21285,4344,21285,4344,2.6607,0.543,NH3,2.26
2,0,3.3,255,23382,4772,23382,4772,2.92285,0.5965,NH3,3.43
3,0,3.3,255,25583,5221,25583,5221,3.19789,0.65263,NH3,4.66
4,0,3.3,255,27792,5672,27792,5672,3.4741,0.709,NH3,5.9
5,0,3.3,255,30027,6128,30027,6128,3.7534,0.766,NH3,7.15
6,0,3.3,255,32251,6582,32251,6582,4.03148,0.82275,NH3,8.39
7,0,3.3,255,34486,7038,34486,7038,4.31078,0.87975,NH3,9.64
8,0,3.3,255,36666,7483,36666,7483,4.58336,0.93538,NH3,10.86
9,0,3.3,255,38847,7928,38847,7928,4.8559,0.991,NH3,12.07
10,0,3.3,255,40988,8365,40988,8365,5.12359,1.04563,NH3,13.27
11,0,3.3,255,43110,8798,43110,8798,5.38878,1.09975,NH3,14.46
12,0,3.3,255,45158,9216,45158,9216,5.6448,1.152,NH3,15.6
13,0,3.3,255,47181,9628,47181,9628,5.89774,1.20362,NH3,16.73
14,0,3.3,255,49196,10040,49196,10040,6.1495,1.255,NH3,17.86
15,0,3.3,255,51067,10422,51067,10422,6.38348,1.30275,NH3,18.91
16,0,3.3,255,52900,10796,52900,10796,6.61255,1.3495,NH3,19.93
17,0,3.3,255,54654,11154,54654,11154,6.83183,1.39425,NH3,20.91
18,0,3.3,255,56384,11506,56384,11506,7.04801,1.43837,NH3,21.88
19,0,3.3,255,58035,11844,58035,11844,7.25445,1.4805,NH3,22.8
20,0,3.3,255,59598,12163,59598,12163,7.44986,1.52038,NH3,23.67
21,0,3.3,255,61181,12486,61181,12486,7.64768,1.56075,NH3,24.56
22,0,3.3,255,62661,12788,62661,12788,7.83265,1.5985,NH3,25.38
23,0,3.3,255,64047,13070,64047,13070,8.00596,1.63387,NH3,26.16
24,0,3.3,255,65356,13338,65356,13338,8.16953,1.66725,NH3,26.89
25,0,3.3,255,66674,13606,66674,13606,8.33426,1.70087,NH3,27.63
26,0,3.3,255,67914,13860,67914,13860,8.48925,1.7325,NH3,28.32
27,0,3.3,255,69045,14090,69045,14090,8.63071,1.76137,NH3,28.95
28,0,3.3,255,70177,14322,70177,14322,8.77223,1.79025,NH3,29.59
29,0,3.3,255,71265,14544,71265,14544,8.9082,1.818,NH3,30.19
30,0,3.3,255,72309,14756,72309,14756,9.03864,1.84462,NH3,30.78
31,0,3.3,255,73279,14955,73279,14955,9.15996,1.86938,NH3,31.32
32,0,3.3,255,74176,15138,74176,15138,9.27203,1.89225,NH3,31.82
33,0,3.3,255,74994,15304,74994,15304,9.37429,1.91312,NH3,32.28
34,0,3.3,255,75827,15474,75827,15474,9.47841,1.93437,NH3,32.74
35,0,3.3,255,76641,15641,76641,15641,9.58014,1.95513,NH3,33.2
36,0,3.3,255,77336,15782,77336,15782,9.66706,1.97287,NH3,33.59
37,0,3.3,255,78081,15935,78081,15935,9.76021,1.99188,NH3,34.0
38,0,3.3,255,78703,16062,78703,16062,9.83798,2.00775,NH3,34.35
39,0,3.3,255,79370,16198,79370,16198,9.92128,2.02475,NH3,34.72
40,0,3.3,255,79943,16315,79943,16315,9.99296,2.03938,NH3,35.04
41,0,3.3,255,80467,16422,80467,16422,10.05848,2.05275,NH3,35.34
42,0,3.3,255,81016,16534,81016,16534,10.12707,2.06675,NH3,35.64
43,0,3.3,255,81555,16644,81555,16644,10.19445,2.0805,NH3,35.95
44,0,3.3,255,82021,16739,82021,16739,10.25266,2.09238,NH3,36.21
45,0,3.3,255,82408,16818,82408,16818,10.30103,2.10225,NH3,36.42
46,0,3.3,255,82864,16911,82864,16911,10.35801,2.11388,NH3,36.68
47,0,3.3,255,83196,16978,83196,16978,10.39961,2.12237,NH3,36.86
48,0,3.3,255,83618,17065,83618,17065,10.45234,2.13313,NH3,37.1
49,0,3.3,255,83961,17135,83961,17135,10.49521,2.14188,NH3,37.29
50,0,3.3,255,84211,17186,84211,17186,10.52643,2.14825,NH3,37.43
51,0,3.3,255,84510,17246,84510,17246,10.56376,2.15587,NH3,37.6
52,0,3.3,255,84809,17308,84809,17308,10.60115,2.1635,NH3,37.76
